,restaurant,CO2 level
0,3-Streifen,15.928113207547174
1,Alla Vita,6.579857142857138
2,Azalye,7.055312499999999
3,B-Gourmet,3.304186046511627
4,Babbas,19.249024390243896
5,Bareburger,7.209104477611937
6,bbq Chicken,4.712222222222222
7,Beets&roots,0.5718181818181819
8,Bistro Denkm,1.88
9,Bombay Bros,5.572142857142857
10,Bon 78,4.426981132075468
11,Burger Baby,3.1983076923076923
12,Burgerbude,5.672941176470587
13,Chi Chi Thai,4.872537313432831
14,Chichilas Tex,14.838906250000015
15,Chidoba,6.8931666666666676
16,Ciro il lattaio,8.652121212121214
17,comai,0.04641025641025641
18,Curry Club,2.1547058823529412
19,Dauth-Schneider,5.293191489361702
20,Delhi Tandoori,6.677115384615383
21,Der Fette Bulle,5.857599999999999
22,Dicke Butz,5.108510638297872
23,Die Kuh die Laut,0.912142857142857
24,Dominion Food Revolution,3.5927272727272728
25,Du Liban,6.0067999999999975
26,Dunkin,22.388095238095246
27,Eat fit,4.890000000000002
28,EatDoori Deli,8.93966666666666
29,Eckenheimer,3.564390243902438
30,Einstein Kaffee,2.531249999999999
31,Eis Fontanella,0.8638181818181818
32,Elaine,14.145000000000001
33,Fit Kitchen,3.6354545454545444
34,Five Guys,10.7662962962963
35,Foods MyZeil,1.6859615384615385
36,Frittenwerk,5.901590909090911
37,Gelateria,31.183714285714288
38,Gheymeh,8.3265
39,Gioia,1.9552112676056337
40,Go!Fish,6.078611111111111
41,Gokio,3.901363636363635
42,Gruenburg,7.0299999999999985
43,Gyoza,0.6175999999999999
44,Hamburger am,5.724459459459458
45,helium,9.235714285714286
46,Heppy Green,1.3212765957446806
47,Hoefchen Chines,0.22060606060606064
48,Indian Curry Castle,8.162826086956514
49,JAMY,4.391034482758621
50,Jianbing,3.2425641025641028
51,Juls Salads,11.547222222222219
52,Kahuna Poke,5.494166666666667
53,Kims Pho,11.127611940298515
54,Kiwis,13.426875000000003
55,KOKUMY,6.319117647058818
56,la baguette,6.175000000000001
57,la Dolce Vita,2.904166666666667
58,Limori,11.645000000000005
59,Ma Pasta,13.871621621621616
60,Main Kebab,4.565316455696203
61,Milch und Zucker,17.997199999999996
62,MixiMixi,2.768181818181819
63,Moka Roasters,5.249384615384614
64,MoschMosch,8.199473684210522
65,MyPita,7.287580645161288
66,Naanoori,24.53708333333334
67,Nanis,17.555624999999996
68,Noodles Bar,6.676333333333333
69,NORDSEE,12.450175438596505
70,NXT GEN KBP,15.898333333333342
71,Ong Tao,6.454047619047611
72,Papa Enj,3.757
73,Papa Napoli,6.714561403508771
74,PhaB Tea,2.558076923076923
75,PINO,9.181749999999997
76,Pizza Pasta,25.641176470588217
77,Pizzaria Gemel,7.878636363636361
78,Pizzeria Milano,4.215789473684211
79,Pizzeria Montana,8.06625
80,Prik Thai,7.307818181818186
81,Rama V,4.9743589743589745
82,Ristorante Leon,7.2551923076923055
83,Ristorrante Bac,6.6659999999999995
84,Royal Donuts,42.82439024390245
85,Sakura Sushi,108.99
86,Sams Sportsbar,5.869245283018868
87,Schweizers,0.7859375
88,Shellys,21.164074074074072
89,Shuka Cafe,1.2190476190476192
90,solt,0.3283333333333333
91,Sorihashiya,3.63375
92,Soulmate,9.286578947368431
93,Struwwelpete,5.108000000000001
94,Subway,14.668103448275867
95,Super Bros,5.670454545454545
96,Suvadee,7.624999999999997
97,Swaad,6.174576271186437
98,Taj Mahal,10.489999999999993
99,Taj Taj Tandoori,7.151311475409832
100,Tanuki,2.255454545454545
101,The Different Kebab,0.8523999999999999
102,The noodlemaker,12.438695652173914
103,Trattoria,12.737833333333334
104,Traumkuh,12.986818181818178
105,TRINITII,8.59657142857143
106,U Bowl,2.5894117647058827
107,Vipho,11.6138888888889
108,Yoffi,3.521666666666665
109,Zeil Kitchen,2.403529411764705
110,Zwischenraum,21.99392857142856
111,Kamon Sushi Bar,11.302500000000006
